ID_CEN,ID_CCS
c5796342435356987048,c5613465989096768485
c4631255021158490355,c5613465989096768485
c3223408479908800643,c5613465989096768485
c1724138162999323628,c5613465989096768485
c4793278317621309514,c5613465989096768485
c1724615320390048924,c5613465989096768485
c3375286412122375521,c5613465989096768485
c3881131219148248232,c5613465989096768485
c4203789236033426454,c5613465989096768485
c3597790774266500810,c5613465989096768485
c2747448196182703563,c5613465989096768485
c4096377671316192104,c5613465989096768485
c4090568842113205543,c5613465989096768485
c7441911334766644007,c5613465989096768485
c5327847399545200410,c5613465989096768485
c5911653560016707889,c5613465989096768485
c2527250530461236363,c5613465989096768485
c4931518778078660465,c5613465989096768485
c3729735296856169102,c5613465989096768485
c3971336178920004852,c5613465989096768485
c3052951568488470817,c5613465989096768485
c2739464955449173255,c2448572843236053759
c8430330930447128096,c2448572843236053759
c6324982728124690068,c2448572843236053759
c2666260321299754844,c2448572843236053759
c4085447584762533614,c2448572843236053759
c7802155333102702951,c2448572843236053759
c5824552756374343735,c2448572843236053759
c8773596766151017771,c2448572843236053759
c4825657328105432571,c2448572843236053759
c4680580593577299903,c2448572843236053759
c7329896648783160200,c2448572843236053759
c5356462986067639581,c2448572843236053759
c8008747760176005121,c2448572843236053759
c4995880719988105176,c6572724121655684074
c1925839174275210595,c6572724121655684074
c6182078728879063397,c6572724121655684074
c7622168069203406999,c6572724121655684074
c4661263776172639243,c6572724121655684074
c5832158666819981672,c6572724121655684074
c5250452291621004851,c6572724121655684074
c2025736666355090383,c6572724121655684074
c2163803742547579167,c6572724121655684074
c5892884114720478974,c6572724121655684074
c4184886612726770676,c6572724121655684074
c7334827707439301027,c6572724121655684074
c4627408163171908792,c6572724121655684074
c7775907276368218925,c6572724121655684074
c5838008568816830941,c6572724121655684074
c1906811048237031054,c6572724121655684074
c4410864802196846702,c6572724121655684074
c8265169221299955324,c6572724121655684074
c1233437157722213582,c6572724121655684074
c8447852777961784200,c6572724121655684074
c7062546823650750502,c3813607227779029899
c2675658589964433552,c3813607227779029899
c8082195705522534889,c3813607227779029899
c3955401866234635780,c3813607227779029899
c5499163478298323150,c3813607227779029899
c3008624399687591998,c3813607227779029899
c3935514357577088798,c3813607227779029899
c1810239610646726701,c3813607227779029899
c1231450204625944195,c3813607227779029899
c2384413320151340834,c3813607227779029899
c7596110478219168375,c3813607227779029899
c3262636916800638632,c3813607227779029899
c2021672861871150377,c3813607227779029899
c3005645283892068829,c3813607227779029899
c2532253123323509723,c3813607227779029899
c9202325522861340931,c3813607227779029899
c2445424822814621011,c3813607227779029899
c1637415628239283908,c3813607227779029899
c3601648803377719340,c3813607227779029899
c2902886007098002153,c3813607227779029899
c8920760255460761118,c3813607227779029899
c7452930910729180525,c3813607227779029899
c6815720781767695870,c3813607227779029899
c2372299874775561663,c7292577254015120097
c5301743236617987727,c7292577254015120097
c8987933139105712967,c7292577254015120097
c5872420993070152267,c7292577254015120097
c1414009411384522611,c7292577254015120097
c5341787260450007091,c7292577254015120097
c6600730202593238334,c7292577254015120097
c8506445281248051591,c7292577254015120097
c4440947929492725764,c7292577254015120097
c8112837847357975955,c7292577254015120097
c4586798202658926248,c7292577254015120097
c2401996997627290096,c7292577254015120097
c2147488003182520903,c7292577254015120097
c8465681692825010496,c7292577254015120097
c8859501695473140017,c7292577254015120097
c4583243954110348526,c7292577254015120097
c1301274274200188576,c7292577254015120097
c1634943362810804415,c7292577254015120097
c5951523202973882203,c7292577254015120097
c2080495868513735353,c7292577254015120097
c8060891655087368087,c7292577254015120097
c6305109147137656393,c3508808401066071725
c3766143179768496390,c3508808401066071725
c9170647001363965948,c3508808401066071725
c8327912994327083292,c3508808401066071725
c3828326971717930047,c3508808401066071725
c6125530033465191298,c3508808401066071725
c4179309393320691025,c3508808401066071725
c6182684441972533070,c3508808401066071725
c5744566462997123681,c3508808401066071725
c3325712981262064957,c3508808401066071725
c7528590695512550106,c3508808401066071725
c8642849138958455145,c3508808401066071725
c3024844404963628508,c3508808401066071725
c5484615754842399345,c3508808401066071725
c7054899054557794561,c3508808401066071725
c8049226694425954308,c3508808401066071725
c4445213226709851728,c3508808401066071725
c1315325770114053388,c1635997426031697541
c5046107371591269913,c1635997426031697541
c2643193814762109763,c1635997426031697541
c4566111862749141978,c1635997426031697541
c3884418047437583463,c1635997426031697541
c3308792914386827036,c1635997426031697541
c8150745147615914718,c1635997426031697541
c5889096279362406523,c1635997426031697541
c3884733964341323865,c1635997426031697541
c5144999218985496783,c1635997426031697541
c1423065750235470874,c1635997426031697541
c8629325949359987577,c1635997426031697541
c7199173799820508899,c1635997426031697541
c4118675056366195792,c1635997426031697541
c6203446537712940752,c1635997426031697541
c2880317732592450286,c1635997426031697541
c9489726376173970985,c1635997426031697541
c1383754616237508593,c1635997426031697541
c5431874306510651093,c1921395451344011350
c9113553053424895299,c1921395451344011350
c5032205761952087635,c1921395451344011350
c8157358053764635274,c1921395451344011350
c8942608006982224317,c1921395451344011350
c1062440359774728751,c1921395451344011350
c3597283728902892694,c1921395451344011350
c4362334177580026794,c1921395451344011350
c9439538448739070503,c1921395451344011350
c8043133243677285260,c1921395451344011350
c8281181609211251261,c1921395451344011350
c7801564510248852925,c1921395451344011350
c5468355670974597042,c1921395451344011350
c5541126856079237333,c1921395451344011350
c8104539698023153918,c1921395451344011350
c7588319030516923139,c1921395451344011350
c3642466219715418353,c1921395451344011350
c8316973630634429535,c1921395451344011350
c4893994758201646391,c1921395451344011350
c2490475200678942771,c1921395451344011350
c8960614041710859400,c1921395451344011350
c2550559310521838280,c4747504091516325236
c1320293946466598926,c4747504091516325236
c6258996656048186634,c4747504091516325236
c5497693686589261743,c4747504091516325236
c3215170540044707316,c4747504091516325236
c4927280207677053759,c4747504091516325236
c3726938278155362115,c4747504091516325236
c6090614449862399026,c4747504091516325236
c8964933392839483493,c4747504091516325236
c6134707501087770407,c4747504091516325236
c4030176974953543894,c4747504091516325236
c1670991137825885928,c4747504091516325236
c8986905495990600435,c4747504091516325236
c2225022773045984990,c4747504091516325236
c4272091209051653995,c4747504091516325236
c7664301043416877902,c4747504091516325236
c3166572336064324992,c4747504091516325236
c8295031740703163083,c4747504091516325236
c2207256490499320614,c4747504091516325236
c2482684992304697617,c4747504091516325236
c7267608611699105748,c4747504091516325236
c6565461142872601607,c4747504091516325236
c8787931498859463792,c4747504091516325236
c5599685297382424356,c4747504091516325236
c8979379489537841043,c4747504091516325236
c3370016956471576030,c4747504091516325236
c6635828733997094572,c4747504091516325236
c3548993126196920240,c4747504091516325236
c4156909909125232664,c4747504091516325236
c1410144517626377554,c6423770673344966014
c3884682281106776618,c6423770673344966014
c4689854367385733417,c6423770673344966014
c3275772635297514137,c6423770673344966014
c5394243249575854680,c6423770673344966014
c8026178693491088649,c6423770673344966014
c9136195014569234405,c6423770673344966014
c7316975556154123574,c6423770673344966014
c3684315513590416834,c6423770673344966014
c5372199164088596589,c6423770673344966014
