Census_resident_ID,CCS_resident_ID,Score,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
4033582644360487909,8269993449535260542,1.0,,,,
4437551715268876719,7114149928407258627,1.0,,,,
7808689413526431372,2531781015159443806,1.0,,,,
5080840731671355471,4953774425873464794,1.0,,,,
6868682442282694843,2746692260698044568,1.0,,,,
9401180953400233740,4469901825081303726,0.9,,,,
8607523948256947497,7105987053561388487,0.9,,,,
5818917408847548531,9757200434315416710,0.9,,,,
8555013726756196243,7444034572630065942,0.8,,,,
5061731481361479808,4627902329148477936,0.8,,,,
9333630339986850760,3371966128110682201,0.8,,,,
9333630339986850760,6542496720985623767,0.8,,,,
2646784695353858235,5582003494086543676,0.8290000000000001,,,,
8999666768679261226,8900205745178116007,0.6,,,,
1696428238859231855,7093546415891030760,0.40700000000000003,,,,
1714319308806285323,6675814894477406910,0.251,,,,
1967788912684906984,9548255630766817226,0.6659999999999999,,,,
1182671406372768917,2204206652889669755,0.22,,,,
8586342686296025546,4619486503032893259,0.26899999999999996,,,,
9930403423797203798,9234107507762457076,0.154,,,,
7044193687766767656,9964290372180871336,0.7979999999999999,,,,
8503153129189333337,2887025345337004835,0.878,,,,
4638640589697680334,7517942172216894074,0.408,,,,
5577534501066807707,2762183294642005966,0.408,,,,
9999045554665450670,3578970689049057949,0.725,,,,
3230262468298611842,4713516764057095931,0.142,,,,
4375874347887052998,8691409636701966561,0.857,,,,
4610247083077117346,1047466755895129122,0.168,,,,
2192968033447379946,8600733796816363312,0.096,,,,
9429865717885093688,8524304804243957443,0.9740000000000001,,,,
6526564155515095780,8358400036488876843,0.324,,,,
7047368267233922446,9533410530637807304,0.004,,,,
9018435437946580782,2408698272700124327,0.6890000000000001,,,,
1350767202077965329,3499926722270573336,0.22899999999999998,,,,
1591450135252170427,7324892587840637780,0.9740000000000001,,,,
7784996508238438098,9591182561684924055,0.131,,,,
1948759287825035926,1010604573121897110,0.8959999999999999,,,,
6122051761927640285,4675669993839193118,0.907,,,,
4969395975635988002,2321985011793948738,0.787,,,,
5698604554976909294,9522621682692520925,0.6,,,,
7460640230817229407,2637414670068212445,0.395,,,,
1206317090558413239,3515925475557775962,0.488,,,,
6332831913359104726,6155533697863797027,0.146,,,,
4451651886147422009,6776936321392617738,0.56,,,,
7146363763914143387,9445762369823441995,0.016,,,,
6008440590660020029,7158598428046391327,0.301,,,,
5043233464674444457,2338303734404680989,0.708,,,,
7745587642913893151,1116030272896064774,0.988,,,,
1264794634078114962,5101408262688209281,0.369,,,,
1095815586223938797,6312020645925262677,0.11,,,,
1183698444447381258,7306548019835037621,0.86,,,,
3498699656957897965,6258200865900516023,0.27399999999999997,,,,
8789875657213801948,4883307583594580099,0.428,,,,
5967909188383041933,5441726419762328425,0.659,,,,
1236549860594552057,5503667437360403835,0.784,,,,
5155745735062582428,1019000091010806119,0.665,,,,
1298787385608924542,8291710857673561895,0.311,,,,
9664009279310441844,6709156276309972180,0.511,,,,
4668094543919992319,6744524157573162635,0.701,,,,
8218587463088601127,6823410147679370644,0.644,,,,
7959266846678111620,4343423805334015033,0.716,,,,
1748578479951765929,8440487545038536897,0.698,,,,
1405560685102145698,3618218184251453519,0.7859999999999999,,,,
7824745011467362674,3668533110784535066,0.251,,,,
6002043643996297443,2226484932037955347,0.995,,,,
4840459864265828183,8287006387831371297,0.066,,,,
4321224797540758499,3424617496819828791,0.13699999999999998,,,,
5137288384607817724,8510728559430143933,0.6920000000000001,,,,
9506894385547251708,9714329349597440235,0.235,,,,
5572645638055931414,2049257498996398621,0.331,,,,
5641567645038586990,9642149288727280232,0.015,,,,
2722964579168954215,8039258256290893916,0.41100000000000003,,,,
2008640461626680069,5210991356992507061,0.722,,,,
4915796903435045402,7544133304657483920,0.052000000000000005,,,,
5417181451260630577,4779903128277198399,0.34299999999999997,,,,
3046170683107172726,5812050482324085103,0.46799999999999997,,,,
6527833452131213908,1772659923191756321,0.341,,,,
3458111414115120693,4353184113381316811,0.45899999999999996,,,,
5560054104548418908,4221733998284482407,0.28800000000000003,,,,
4753863644878225588,5382578230004669975,0.27699999999999997,,,,
9938882457396987946,5404956049503788325,0.687,,,,
3954938209669690023,9442334696278165983,0.40700000000000003,,,,
1999036581432748888,9787609642574321304,0.41200000000000003,,,,
9775700168721396650,9862499591267930508,0.615,,,,
5690463069980778752,8446995205167730670,0.415,,,,
7514254428493171962,3570997932441476829,0.73,,,,
7953402967198677205,5083168233625727165,0.044000000000000004,,,,
9322805203565350006,9077489259223800799,0.551,,,,
7755207702899879260,8875516070324820582,0.469,,,,
8167002573503098675,7949076469395496932,0.75,,,,
7097236525881225608,2161215820054861031,0.9079999999999999,,,,
8919558338479880598,1140336124529150183,0.475,,,,
1325442762761516631,7463525633367042314,0.877,,,,
6822938332963105887,7942996407604220855,0.536,,,,
1135011591569415458,4157795975080161438,0.564,,,,
3682934631652738676,7422790285269014370,0.8270000000000001,,,,
8920068219590485275,4157795975080161438,0.8109999999999999,,,,
7001757404842523507,6501742002473717580,0.345,,,,
2430746640958614893,6501742002473717580,0.877,,,,
6524490794389826193,5083168233625727165,0.851,,,,
4268096507172495144,4884632884563310787,0.56,,,,
7193852609947451951,4884632884563310787,0.033,,,,
6524116177564311100,1224183857448780813,0.9279999999999999,,,,
2329648581099443099,4072045862824191606,0.621,,,,
2144496064198315700,1815641668563364107,0.526,,,,
2384252227346627206,2909844563763782519,0.147,,,,
4621353164476284338,4239687593241878018,0.94,,,,
7389725261741643624,7942996407604220855,0.299,,,,
4697790914080896541,4157795975080161438,0.44299999999999995,,,,
4697790914080896541,7422790285269014370,0.349,,,,
5199526857973303349,4157795975080161438,0.602,,,,
5199526857973303349,6501742002473717580,0.305,,,,
5199526857973303349,6501742002473717580,0.97,,,,
2462034623619789303,4884632884563310787,0.062,,,,
4678728623539822013,1128589463084850947,0.743,,,,
1335990217301822487,2989076979324523746,0.557,,,,
5969286132596170685,8171341546247838756,0.5660000000000001,,,,
5838006916819326621,6349376936414990349,0.305,,,,
4516984436727227297,5570562714706768144,0.807,,,,
4516984436727227297,1846485736173515501,0.147,,,,
2111755443876615745,3900751675596060928,0.961,,,,
4410820100243068121,2262168643438495591,0.42,,,,
4383078562996070376,2262168643438495591,0.248,,,,
8765718497724562954,3540524467661419198,0.10099999999999999,,,,
9088608264105069068,8182727338781991042,0.6609999999999999,,,,
8765718497724562954,6052888787394845125,0.767,,,,
6524116177564311100,7942996407604220855,0.6659999999999999,,,,
2329648581099443099,4157795975080161438,0.45,,,,
2144496064198315700,7422790285269014370,0.031,,,,
2384252227346627206,4157795975080161438,0.36700000000000005,,,,
4621353164476284338,6501742002473717580,0.28,,,,
7389725261741643624,6501742002473717580,0.313,,,,
4697790914080896541,4884632884563310787,0.762,,,,
4697790914080896541,1128589463084850947,0.638,,,,
5199526857973303349,2989076979324523746,0.9990000000000001,,,,
5199526857973303349,8171341546247838756,0.171,,,,
5199526857973303349,6349376936414990349,0.496,,,,
2462034623619789303,5570562714706768144,0.475,,,,
4678728623539822013,3900751675596060928,0.01,,,,
1335990217301822487,2262168643438495591,0.19,,,,
5969286132596170685,2262168643438495591,0.8420000000000001,,,,
5838006916819326621,8182727338781991042,0.9670000000000001,,,,
4516984436727227297,6052888787394845125,0.115,,,,
5460030597125582905,7854533641518644488,0.515,,,,
4767277680796757377,7440356509884675245,0.11900000000000001,,,,
5349162240643766909,8455892250183672548,0.925,,,,
9659896210081884771,5576103605278361211,0.7,,,,
7457985355818182237,5925561843569446489,0.74,,,,
4110179575349267828,5455382551741862294,0.5579999999999999,,,,
7181313201000339411,5841307061293578691,0.09300000000000001,,,,
9442969817308841508,5985805283041612895,0.652,,,,
1976706786830027023,8271984043546083163,0.521,,,,
5140394008447440242,4489466886725906667,0.27899999999999997,,,,
4227678419660082148,2512994901206853126,0.5770000000000001,,,,
4492999986510405856,4662526976814208304,0.731,,,,
3622194730893662718,8301757805168651266,0.299,,,,
5094804894301898041,3410566857862316255,0.9790000000000001,,,,
9808265370716312050,3491223999054837512,0.7190000000000001,,,,
8634282076449400131,8875223665337225291,1.0,,,,
5259710238534595486,6161163575209228499,0.955,,,,
2436201533971689363,3849176577988541261,0.387,,,,
5189444221558435011,8964351345413750663,0.61,,,,
7223114642997653052,4730221546741694184,0.214,,,,
9348823687557109079,4561647271438725117,0.89,,,,
3004333059006734481,5856448091972350460,0.961,,,,
7558815821979499798,9684576540736078000,0.092,,,,
1153679392639532945,8246350167387350888,0.6709999999999999,,,,
6260006539900104325,7760015518707152016,0.354,,,,
5302877356731455220,8517308917052983797,0.578,,,,
5749560932383917697,8925929308079683211,0.948,,,,
4223404025370361095,1184960798021521755,0.961,,,,
1815635828807978099,3740799208834155668,0.9940000000000001,,,,
6689447237058660357,3472132900997717927,0.425,,,,
7712465294284502697,2776495171841519728,0.099,,,,
2819399782530252260,3371199695944664526,0.736,,,,
9282607521521247307,9127302310254431958,0.7609999999999999,,,,
5792627567730173856,6595295069498300769,0.424,,,,
8772920351755447407,8255509706140567981,0.629,,,,
2257435658509815176,1392340861599700203,0.9,,,,
6644847049317497330,7862196796066461382,0.835,,,,
8218854528606321595,7165281424667820942,0.922,,,,
