Datasource,ID
Census,5942837057003358526
Census,9879376639106772912
Census,1410301213167438928
Census,9836385881313923212
Census,4612562288958905433
Census,2082309368454536086
Census,9178812349111947891
Census,9757842666750504351
Census,7623364436475600954
Census,7423284311855460690
Census,8583254684179355525
Census,5798839178435362521
Census,5721000787567612839
Census,6329824657425746413
Census,7492558202012916042
Census,5417942996563256528
Census,6931502818801498004
Census,1774715090153697022
Census,2005409977394220668
Census,5709730264285943153
Census,4851204639869547314
Census,5351910651764458954
Census,5611506239349390584
Census,4270970942908510063
Census,4128991860960980165
Census,5586356566038091294
Census,2830367103591844811
Census,8141218762887173277
Census,4998209751539673148
Census,9430050520526955139
Census,5711572973954621544
Census,8815767458939859454
Census,3056025994739004189
Census,9991510448866955550
Census,4271891020363853441
Census,9104746570179277062
Census,7193852609947451951
Census,3745286492520154895
Census,5937518066330289148
Census,8079287101008923264
Census,7705194518454577273
Census,7289528627476994734
Census,4683933337046945623
Census,3281724783923517715
Census,7056713213815384483
Census,1079966480119753312
Census,1004368534000665301
Census,1863970172370435058
Census,6766126179410208934
Census,4644671133867859022
CCS,7755736585609167705
CCS,8418786221779255172
CCS,3358613685172638622
CCS,1358087434090133781
CCS,2876488252138205131
CCS,3301959742280960599
CCS,1639861759181217790
CCS,4993087869021374855
CCS,2162397954460942265
CCS,8945622257592162152
CCS,1911506272391758681
CCS,6108230350724873219
CCS,7948329058718912426
CCS,5114729545194082600
CCS,8321905301750330821
CCS,2085061686853862225
CCS,9475255399248308019
CCS,3642564220459840314
CCS,9442931234696359078
CCS,5063787307057633219
CCS,5200387081525376744
CCS,4895596386621618100
CCS,7564423834105754070
CCS,8364876103133575667
CCS,7868117419134595338
CCS,7302253385452408269
CCS,7241784934596495122
CCS,5773785692960075777
CCS,5070337630071224482
CCS,6081351828950241704
CCS,5207021234211725133
CCS,1984040788472636075
CCS,7039699140873473841
CCS,9232165532800372289
CCS,2121480480220780481
CCS,7882013338717858238
CCS,7887879032151192137
CCS,2435138154354806470
CCS,1882902374299414830
CCS,4237509817204008393
CCS,8084977243187687107
CCS,7707589066317423403
CCS,6827206790242150677
CCS,8202026758560925128
CCS,2963125929167993339
CCS,9237996979316654050
CCS,6553897823830956903
CCS,7309892490063282065
CCS,3790284459995515777
CCS,6825902084584229178
CCS,3944292452866448459
CCS,7127207719595033474
CCS,1238018689123352923
CCS,5775262820682546580
CCS,4640209214425761325
CCS,8239110385515450764
CCS,8772690769033520239
CCS,2340387290596614757
CCS,7397697509528512003
CCS,7767091177283403303
CCS,7576135975394989048
CCS,3019680985300842939
CCS,6811829974781013200
CCS,9663749119456445714
CCS,3189682342549779073
CCS,4046834399403623068
CCS,3429761522596997782
CCS,1696088637169974998
CCS,1673236745131284612
CCS,9069050855187797499
CCS,9970936696522145085
CCS,8315038415522964284
CCS,7609426800586428508
CCS,7118020528224056559
CCS,5884555810803667556
CCS,1965602206453677301
CCS,2300142293671437051
CCS,8113983157935128723
CCS,2702098136104723555
CCS,6751430801650504915
CCS,6079952065341084761
CCS,8686152144639249368
CCS,2873915942492256357
CCS,7066143900955003179
CCS,8864400197457316992
CCS,5000747251620368842
CCS,1567327995288053820
CCS,6367664394463078224
CCS,5252105580095435231
CCS,1899886814058144036
CCS,2387974684727917921
CCS,4888989078994949313
CCS,7257639267124102886
CCS,2985096144853598789
CCS,5706789655942657106
