Resident_ID,Cluster_num,Datasource,Unnamed: 3,Unnamed: 4
8833974070141411619,0,CCS,,
2369261525464130823,171,CCS,,
9668223039983271725,170,CCS,,
7927192502541415968,169,CCS,,
9771917730131485558,167,CCS,,
3803616877431292558,166,CCS,,
8040465505135570740,165,CCS,,
3746032237351673094,164,CCS,,
8227108076141213609,163,CCS,,
4455956307447223177,162,CCS,,
9865514760184640998,161,CCS,,
2358041912555179781,159,CCS,,
4116634272847252472,158,CCS,,
9069182562986766086,157,CCS,,
8224912720263972852,156,CCS,,
6944812137488267392,155,CCS,,
4185334754343289550,154,CCS,,
4243359395079364684,153,CCS,,
5577577169290959535,152,CCS,,
2482904437579623156,151,CCS,,
3013230765199617774,172,CCS,,
7720066526776593271,150,CCS,,
4153683623941522891,173,CCS,,
8324164890244481719,175,CCS,,
5499653401667396961,194,CCS,,
9902758067110872149,193,CCS,,
1859298625484682859,192,CCS,,
4165845499475251070,191,CCS,,
2179674600155896055,190,CCS,,
6926010240278781509,189,CCS,,
4071171185321320547,188,CCS,,
4119685540079328379,187,CCS,,
7759518610562679952,186,CCS,,
9654987678320370306,185,CCS,,
1984804742089711194,184,CCS,,
5491924370297104871,183,CCS,,
3017548699125539842,182,CCS,,
8975669617288327791,181,CCS,,
7823163453419450584,180,CCS,,
7208915273567582272,179,CCS,,
8606333547833963280,178,CCS,,
2370558909944748162,177,CCS,,
7320782141557678402,176,CCS,,
7673240541030768618,174,CCS,,
7009050495226193785,147,CCS,,
2131126979789540374,146,CCS,,
8451805665829753574,145,CCS,,
5234222727176739561,118,CCS,,
9973044375061699627,117,CCS,,
1522367559114847125,116,CCS,,
6033063283936849270,115,CCS,,
8971097167693207325,114,CCS,,
7459036142497845770,113,CCS,,
4734928568759043836,112,CCS,,
4805045796673570965,111,CCS,,
2241903193077896279,110,CCS,,
5239478627891481868,109,CCS,,
6750007045112056945,108,CCS,,
8937724632603673981,107,CCS,,
9392076452175417480,106,CCS,,
1111403346109482658,105,CCS,,
2381414425947122798,104,CCS,,
1309750639296404079,103,CCS,,
8474682167732062398,102,CCS,,
7740095989942487808,101,CCS,,
3941480137212858017,100,CCS,,
3955246716943288136,119,CCS,,
6212459699096185290,120,CCS,,
6888386290307368747,121,CCS,,
4663485132373650557,123,CCS,,
4652812904563129735,144,CCS,,
7221896964395508680,143,CCS,,
6297924817692492702,142,CCS,,
4333505693859076826,141,CCS,,
9302099523235353442,11450,CCS,,
6697283686525816876,139,CCS,,
1286351790549113339,138,CCS,,
3604239553002850694,137,CCS,,
5411175353682886709,136,CCS,,
8630171664236604866,194,CCS,,
1891360394256601183,135,CCS,,
1098103603052566001,133,CCS,,
3089251370165715789,132,CCS,,
7235290188271359692,130,CCS,,
9648754838473155682,129,CCS,,
7649392592132063509,128,CCS,,
4378658448400336695,127,CCS,,
6736741072155923671,126,CCS,,
6077717454710558555,125,CCS,,
3537199863353434871,124,CCS,,
5384438244468479194,134,CCS,,
5064838484931273333,195,CCS,,
2208160784984243467,198,CCS,,
4246279768763117247,199,CCS,,
8762743902794807283,11424,CCS,,
5468881838041278642,11423,CCS,,
6294180521619457785,11422,CCS,,
6784779475990333811,11421,CCS,,
1092203264894668245,268,CCS,,
4246632845037427193,267,CCS,,
3218544448112515167,263,CCS,,
4604759916062167983,262,CCS,,
3201094347096954678,261,CCS,,
9526480698375628807,260,CCS,,
5625067093507554238,259,CCS,,
3492290602662081622,258,CCS,,
5880831196589134224,257,CCS,,
2187733963702713039,256,CCS,,
9156190939049753595,255,CCS,,
3891899604238366376,254,CCS,,
3747079167663444835,253,CCS,,
8200930536081602931,252,CCS,,
1181002448242649035,251,CCS,,
5799463173262468257,11425,CCS,,
9460319308030648229,11425,CCS,,
4850544426393000662,11426,CCS,,
