CEN_ID_TARGET,CEN_ID_CANDIDATE
c2066849408068751031,c2156811033926303557
c2517165154170652366,c3020782828270414021
c6431725874718428699,c4998287227289507212
c8158601141194992095,c3544733086745413429
c4721960948491409870,c1358279269303080435
c4300817726598946353,c2611161310659817108
c7761231593014659517,c3209153815650301317
c2441240147668768218,c8949146765517948215
c7356775401852685032,c4051201955599654844
c7347184926886022174,c7288426747960459662
c4556930412336847831,c8689472187521873660
c6573183565006824647,c8306953279893318720
c7458866091780217452,c3653164333400990589
c8170024850064139624,c6140797537376269646
c5360269833218543839,c7090951504838110083
c1509771887551262192,c4148520431035483938
c4287711462622257861,c1180237865452023471
c9130785044594263116,c8416650528215692430
c4823982898762074245,c2034787819567686906
c2735069068689529037,c8851862756749980840
c8330584411522937604,c3680939397684170016
c1036177059718079309,c2258382036787957883
c3410677722352400229,c6093560092217589230
c2844409221431479813,c3455963449975782913
c6607347065293904592,c4028161399932229680
c2019293225550635554,c1726902002343161996
c8566693026301465808,c5988631316381902875
c5416544458123144197,c5591464319452451188
c8048270173011110280,c5503003199623168171
c6828696036778892459,c6719028558815069796
c7738318822566893973,c2901540661612332547
c3878540761582769491,c3118525105152660685
c5962514191970316721,c9025085597695304361
c5455718818590895736,c2988987913832448183
c4277424770612237512,c9018340766569414107
c4146144847077025831,c7925269938267975392
c7571332637069521898,c2402454317139640565
c8007912684092134432,c1869495507387152041
c5389318889265716674,c7332771764307719106
c2955593708952774777,c3537281333474568584
c3673222364152074613,c7984531737156736152
c2275065333871215038,c9647314425088533984
c7285661154860320812,c7713682842877594349
c5947864875953505603,c2584260501910818852
c1834796317786562748,c6804878616891610489
c7122644098728944260,c6229304422982570958
c2353951756834664142,c5707271422822771813
c4767461584108253932,c1054834224994238216
c6070663640635021686,c2023007086502312959
c8524153622001392658,c5543819815338297582
c2187574500696562768,c7293753993945290937
c2967813854170628951,c3504274754199925773
c2550270217951647274,c7845453848527151640
c3028743580148394995,c9209350549212361090
c8485605750836320859,c5495401074552371439
c2020043482315360754,c8848612303074392601
c6298394481753904712,c2790687489838645146
c1239037654955641633,c7386820789551080923
c4043475205984477141,c2723201292320050453
c5759675716257915922,c7660108995744209377
c8628442067234437037,c4216531165736498446
c8801589320903607100,c1434143646773628983
c3850664320772108691,c7870365546117670628
c5487975457531389739,c5839955498809068100
c2718614303312900518,c7584208485711057828
c5648752767312835609,c1199842401431412397
c7609632929968175073,c7638304878804920189
c6815988882612257286,c2846021948393297703
c8495979329890661694,c7622913095603168608
c3452541973952966615,c7577214994862119595
c3808877477749828139,c1365530061239722526
c3894984310326361589,c9077051235416738247
c7433887849273913822,c3806743411785237098
c5138889794737758719,c3816303677245316462
c6997898618984142297,c2021075859200185085
c5986341980458902322,c4005104956887671521
c3380429999070076419,c8924025607472731828
c1179196460199109305,c3380763476560273499
c2906792739031893964,c7288146024385581808
c4991413413528733757,c5462233297483157915
c2944018801629140114,c7800644182494519003
c4906558796700785498,c4822523814727107702
c7613008672921593459,c1381716486993455475
c5266490447002063608,c2863861109756993466
c2592647105923257258,c6996408662618953348
c2240416128439617645,c2661823173170036606
c1328460250581727610,c5565123556799878477
c8358370555700731697,c2106765184013941579
c6608907704793158225,c9036766594110184020
c2511152027906639764,c3199459026507885258
c1579545861569915240,c6500304691518735976
c4008868015461199232,c3928792974357855573
c5406431860204704385,c5411293751040591236
c2621495041817241342,c7145241513400488477
c7141916497068289047,c1792359846269039585
c4716735454610074970,c2794404206663044793
c4267078070013131927,c4964402338036815445
c3309669692080938641,c6307407004084489276
c5573677725251948768,c3086842300867972587
c1390225195411587243,c6637706347534105649
